City,Country,Population Density,Population,Working Age Population,Youth Dependency Ratio,Unemployment Rate,GDP per Capita,Days of very strong heat stress,Main Spoken Languages,Average Monthly Salary,Average Rent Price,Average Cost of Living,Last Data Update,Main Spoken Languages List,Salary_vs_CostLiv_Diff,Rent_Burden,Disposable_Income,Latitude,Longitude,Traffic Index,Health Care Index,Crime Index
Vienna,Austria,310.0,2983513.0,2018818.0,20.1,10.2,55770.0,3,"German, English, Turkish, Serbian",2500.0,1050.0,2061.0,2024-06-15,"['German', ' English', ' Turkish', ' Serbian']",439.0,42.0,439.0,48.20833,16.3725,16.783333333333335,81.2,28.1
Salzburg,Austria,243.0,375489.0,250472.0,20.3,3.0,66689.0,0,German,3200.0,1100.0,2186.0,2023-11-03,['German'],1014.0,34.375,1014.0,47.8,13.045,11.25,81.2,28.1
Brussels,Belgium,681.0,3284548.0,2137425.0,27.5,10.7,62500.0,3,"French, Dutch, Arabic, English",3350.0,1200.0,1900.0,2023-04-22,"['French', ' Dutch', ' Arabic', ' English']",1450.0,35.82089552238806,1450.0,50.84667,4.3525,14.9,73.3,54.9
Antwerp,Belgium,928.0,1139663.0,723396.0,27.7,6.2,57595.0,3,"Dutch, French, Arabic",2609.0,900.0,1953.0,2024-08-09,"['Dutch', ' French', ' Arabic']",656.0,34.49597546952855,656.0,51.21778,4.40028,12.233333333333333,79.8,39.9
Gent,Belgium,552.0,645813.0,417832.0,24.8,6.2,53311.0,2,"Dutch, French",2400.0,827.0,1200.0,2023-07-17,"['Dutch', ' French']",1200.0,34.458333333333336,1200.0,51.05361,3.72528,12.766666666666667,79.9,25.4
Bruges,Belgium,840.0,119765.0,74600.0,25.63,5.6,63083.0,0,"Dutch, French",2700.0,1250.0,1708.0,2023-10-25,"['Dutch', ' French']",992.0,46.2962962962963,992.0,51.20889,3.22417,12.916666666666666,79.8,39.9
Sofia,Bulgaria,272.0,1553106.0,1043522.0,21.4,2.3,43563.0,0,"Bulgarian, English, Turkish",1300.0,450.0,1100.0,2024-02-11,"['Bulgarian', ' English', ' Turkish']",200.0,34.61538461538461,200.0,,,21.816666666666666,58.5,39.2
Dobrich,Bulgaria,640.0,73895.0,46359.0,22.85,4.6,10089.92,0,"Bulgarian, Turkish",1200.0,400.0,1100.0,2023-12-30,"['Bulgarian', ' Turkish']",100.0,33.33333333333333,100.0,43.567,27.833,13.65,58.5,39.2
Zurich,Switzerland,1058.0,1384728.0,939270.0,22.3,4.7,80431.0,4,"German, English",6636.0,3190.0,4862.0,2023-05-06,"['German', ' English']",1774.0,48.07112718505124,1774.0,47.37444,8.54111,12.2,70.1,23.2
Geneva,Switzerland,1112.0,597269.0,404313.0,23.8,9.9,83747.0,1,"French, English",5794.0,2818.0,4263.0,2024-09-28,"['French', ' English']",1531.0,48.63652053848809,1531.0,46.20167,6.14694,12.35,69.9,30.4
Basel,Switzerland,793.0,550152.0,358020.0,21.5,5.3,94826.0,5,"German, English, French",6366.0,2500.0,4239.0,2023-01-19,"['German', ' English', ' French']",2127.0,39.271127866792334,2127.0,47.55472,7.59056,10.666666666666666,69.5,29.3
